iter	RMSE
239	0.2342859767
240	0.2342385901
241	0.2340113324
242	0.2337484814
243	0.2335565993
244	0.2335140658
245	0.2333454245
246	0.2333039229
247	0.2331339107
248	0.2330506296
249	0.2329351579
250	0.2328266263
251	0.2327381653
252	0.2326267941
253	0.2325104227
254	0.232472909
255	0.2322913792
256	0.2321682971
257	0.2321049338
258	0.2319280884
259	0.2318720983
260	0.231832966
261	0.2317650082
262	0.2316818313
263	0.2314723887
264	0.2313868189
265	0.2312164659
266	0.231060734
267	0.2309275949
268	0.2308824359
269	0.230832929
270	0.2307005022
271	0.2305217506
272	0.2303958551
273	0.230283365
274	0.2302481486
275	0.2300962625
276	0.2300331874
277	0.2298597563
278	0.2297784838
279	0.2296745579
280	0.2295073932
281	0.2294812758
282	0.2293624274
283	0.2292695502
284	0.229194246
285	0.2289770216
286	0.2289073294
287	0.2287597953
288	0.2286424245
289	0.2285781172
290	0.2284423167
291	0.2283217658
292	0.2282252251
293	0.2280388162
294	0.2280236457
295	0.2278816466
296	0.2277432624
297	0.2276121372
298	0.2275108775
299	0.227445189
300	0.2273364486
301	0.2272847725
302	0.2272100389
303	0.227110337
304	0.2270028986
305	0.2269317123
306	0.2268639593
307	0.2268004614
308	0.2266289903
309	0.2265360598
310	0.226419446
311	0.226386405
312	0.2263169202
313	0.2261784761
314	0.2260895235
315	0.2259697602
316	0.2258545692
317	0.2257642723
318	0.2256835588
319	0.2256149295
320	0.2255816514
321	0.2254617537
322	0.2253789938
323	0.2252856709
324	0.2252133719
325	0.2251252417
326	0.2249816865
327	0.2248372524
328	0.2247746059
329	0.2246972994
330	0.2246589812
331	0.2245379021
332	0.2244138191
333	0.2243564299
334	0.2243001302
335	0.2242330503
336	0.2241479918
337	0.2240693245
338	0.2238949995
339	0.2238358626
340	0.2238169362
341	0.2237844428
342	0.2237343486
343	0.2237182815
344	0.223662494
345	0.2236081937
346	0.2235726845
347	0.2235080626
348	0.2234233557
349	0.2233983102
350	0.223362024
351	0.2232844815
352	0.2232282564
353	0.2231009361
354	0.2230140528
355	0.2229065607
356	0.2228673999
357	0.2227266516
358	0.2226913125
359	0.2226519557
360	0.2226214234
361	0.2225126076
362	0.222460847
363	0.2222946112
364	0.2221800739
365	0.2221307161
366	0.2220320385
367	0.2219629371
368	0.2218669201
369	0.2218047376
370	0.2217650847
371	0.2216499957
372	0.2215650498
373	0.221457702
374	0.2213394919
375	0.2212730124
376	0.2212383058
377	0.2211528798
378	0.2210369706
379	0.2209500594
380	0.2208698095
381	0.220764507
382	0.220689125
383	0.2206265945
384	0.2205893992
385	0.2204980909
386	0.2204629516
387	0.220413884
388	0.2203656563
389	0.2203028018
390	0.2202049989
391	0.220163114
392	0.2200879015
393	0.2200032485
394	0.2199246394
395	0.2198354811
396	0.2197649257
397	0.2197268933
398	0.2196082799
399	0.2195470871
